customer_id,first_name,last_name,email,phone,city,country,signup_date
1,Danielle,Johnson,john21@example.net,001-581-896-0013x3890,South Bridget,Sudan,2026-02-13
2,Katherine,Moore,jpeterson@example.org,001-851-316-1559x40781,Mariastad,Morocco,2024-02-02
3,Chad,Stanley,tracie31@example.com,575-425-5341x928,Grayside,Cyprus,2025-07-26
4,Megan,Parsons,lydiatrujillo@example.com,513-695-3767x242,Hurstfurt,Guyana,2024-03-03
5,Whitney,Hicks,camposmichelle@example.org,+1-326-691-6697x8480,Danielchester,Cayman Islands,2024-11-15
6,Stephanie,Liu,teresa28@example.org,+1-948-293-2528x8095,West Natashaport,Dominican Republic,2023-09-08
7,Natalie,Arroyo,dennislisa@example.net,001-822-778-2489x63834,Lammouth,British Indian Ocean Territory (Chagos Archipelago),2024-04-03
8,Caleb,Smith,briannasmith@example.net,+1-403-910-5183x4738,Port Thomas,Ireland,2024-01-31
9,Collin,Jordan,ujenkins@example.org,+1-610-965-1333x87262,Port Sandra,Kenya,2025-12-08
10,Melissa,Garcia,novaksara@example.org,(267)873-6026,Saramouth,France,2024-10-12
11,Susan,Cowan,smoore@example.org,4982050097,Port Jacobland,Peru,2026-02-05
12,Richard,David,bethwilliams@example.org,(799)385-4353x46247,South Christineshire,Bolivia,2023-09-25
13,Jason,Baker,nicole35@example.com,(378)449-8084,Darrellville,Samoa,2025-03-04
14,Joseph,Jacobs,james48@example.com,801-264-0052x427,North Sierraberg,Mayotte,2023-08-15
15,Mike,Tran,tanderson@example.com,4535315869,Port Lisa,Turkmenistan,2024-09-30
16,Harry,Middleton,vpham@example.org,521-260-7337x543,South Mark,Tonga,2023-09-21
17,Kerri,Bell,ifrazier@example.com,8147294019,Samuelhaven,Brazil,2024-09-01
18,Barbara,Scott,zsmith@example.net,+1-835-661-5951x48465,East Robert,Wallis and Futuna,2024-08-25
19,Kaitlin,Thompson,richard04@example.com,969.495.7773,West Zacharymouth,Bermuda,2025-12-19
20,Karen,Chambers,lindsayhernandez@example.org,979.817.6936,East Diana,Albania,2026-03-11
21,Michelle,Mcclure,zrobinson@example.net,870.983.1727x88957,Lake Michelle,Korea,2024-04-16
22,John,Walsh,rsims@example.com,443-545-5812,Bensonborough,Bahrain,2024-10-03
23,Mark,Owens,clarkrobert@example.net,001-509-967-0546x688,West Ryan,Antarctica (the territory South of 60 deg S),2024-09-05
24,Elizabeth,Yates,marycalhoun@example.net,+1-906-499-0162,West Nicholasborough,Korea,2024-06-29
25,Kathleen,Gray,fking@example.com,5802531003,East David,Paraguay,2023-11-09
26,Stacie,Marshall,katie29@example.net,001-512-341-9049x6631,Melissaville,South Africa,2026-06-19
27,Kimberly,Reed,estanley@example.net,+1-650-967-1657x2628,Grahamshire,Ethiopia,2024-06-24
28,John,Michael,nicole37@example.net,+1-665-607-5273x545,New Stacyland,Dominican Republic,2025-09-03
29,Tracy,Chang,fbrewer@example.com,9147363495,Barajasside,Greenland,2024-07-26
30,Shawn,Parker,davidlee@example.org,001-682-533-7498x9413,Harrytown,Russian Federation,2025-02-11
